center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type
619103,NAGAR NIGAM ZONE 16,Airport Road 341 60 Feet Airport Rd Sector B Palhar Nagar Indore Madhya Pradesh 452006,Madhya Pradesh,Indore,INDORE,452006,22,75,09:00:00,17:00:00,Free
705420,Odumbar Brahman Dharmshala,Chandrabhaga Juni Indore,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
629160,GOUTAMPURA(YATRI PRATIKSHALAYA,GAUTAMPURA,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
618401,NAGAR NIGAM ZONE 15,LAXMAN SINGH GOND ZONE DRAVID NAGAR NEAR RANJIT HANUMAN INDORE,Madhya Pradesh,Indore,INDORE,452009,22,75,09:00:00,17:00:00,Free
646394,NAGAR NIGAM ZONE 17,NARVAL Shiv Nagar Pani Ki TankiSanwer Road Indore,Madhya Pradesh,Indore,INDORE,452003,22,75,09:00:00,17:00:00,Free
639792,KADWALI BUJURG(PANCHAYAT BHAWN,KADWALI BUJURG,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
728501,Tehsil Kryalay Depalpur 2,Tehsil Kryalay Depalpur 2,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
730046,DRIVE IN Emerald Heights RAU,Emerald Heights School Rau,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,17:00:00,Free
646380,NAGAR NIGAM ZONE 04,SANGAM NAGAR INDORE,Madhya Pradesh,Indore,INDORE,452006,22,75,09:00:00,17:00:00,Free
732386,ALAWASA,ALAWASA,Madhya Pradesh,Indore,Sawer,452001,22,75,09:00:00,17:00:00,Free
639778,MAKODIYA (PANCHAYAT BHAWN),MAKODIYA,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
646390,NAGAR NIGAM ZONE 12,HARSIDHI Pagnis Paga Chhatribagh Indore,Madhya Pradesh,Indore,INDORE,452007,22,75,09:00:00,17:00:00,Free
717325,SHC BHANGYA,BHANGHYA,Madhya Pradesh,Indore,Sawer,452001,22,75,09:00:00,17:00:00,Free
604189,PHC KSHIPRA (PANCHAYAT BHAWN),Kshipra PHC,Madhya Pradesh,Indore,Sawer,453771,22,75,09:00:00,17:00:00,Free
